92 ;  Armstrong, Dorance ; DE ; ACT ;  6'4" ; 255 ; 6/10/1997 ; 0 ; Kansas ; 
10 ;  Austin, Tavon ; WR ; ACT ;  5'8" ; 180 ; 3/15/1990 ; 6 ; West Virginia ; 
24 ;  Awuzie, Chidobe ; CB ; ACT ;  6'0" ; 202 ; 5/24/1995 ; 2 ; Colorado ; 
11 ;  Beasley, Cole ; WR ; ACT ;  5'8" ; 180 ; 4/26/1989 ; 7 ; Southern Methodist ; 
85 ;  Brown, Noah ; WR ; RES ;  6'2" ; 225 ; 1/6/1996 ; 2 ; Ohio State ; 
30 ;  Brown, Anthony ; CB ; ACT ;  5'11" ; 196 ; 12/15/1993 ; 3 ; Purdue ; 
20 ;  Campbell, Ibraheim ; DB ; ACT ;  5'11" ; 208 ; 5/13/1992 ; 4 ; Northwestern ; 
97 ;  Charlton, Taco ; DE ; ACT ;  6'6" ; 275 ; 11/7/1994 ; 2 ; Michigan ; 
71 ;  Collins, La'el ; OT ; ACT ;  6'4" ; 323 ; 7/26/1993 ; 4 ; Louisiana State University - Shreveport ; 
96 ;  Collins, Maliek ; DT ; ACT ;  6'2" ; 308 ; 4/8/1995 ; 3 ; Nebraska ; 
59 ;  Covington, Chris ; LB ; ACT ;  6'2" ; 245 ; 1/3/1996 ; 0 ; Indiana ; 
98 ;  Crawford, Tyrone ; DE ; ACT ;  6'4" ; 285 ; 11/22/1989 ; 7 ; Boise State ; 
79 ;  Ehinger, Parker ; OG ; RES ;  6'6" ; 310 ; 12/30/1992 ; 3 ; Cincinnati ; 
21 ;  Elliott, Ezekiel ; RB ; ACT ;  6'0" ; 228 ; 7/22/1995 ; 3 ; Ohio State ; 
75 ;  Fleming, Cameron ; OT ; ACT ;  6'5" ; 320 ; 9/3/1992 ; 5 ; Stanford ; 
35 ;  Frazier, Kavon ; DB ; ACT ;  6'0" ; 223 ; 8/11/1994 ; 3 ; Central Michigan ; 
72 ;  Frederick, Travis ; C ; ACT ;  6'4" ; 320 ; 3/18/1991 ; 6 ; Wisconsin ; 
13 ;  Gallup, Michael ; WR ; ACT ;  6'1" ; 205 ; 3/4/1996 ; 0 ; Colorado State ; 
80 ;  Gathers, Rico ; TE ; ACT ;  6'6" ; 282 ; 1/7/1994 ; 2 ; Baylor ; 
94 ;  Gregory, Randy ; DE ; ACT ;  6'5" ; 242 ; 11/23/1992 ; 2 ; Nebraska ; 
38 ;  Heath, Jeff ; DB ; ACT ;  6'1" ; 212 ; 5/14/1991 ; 6 ; Saginaw Valley State ; 
