54 ;  Ankou, Eli ; DT ; ACT ;  6'3" ; 325 ; 6/8/1994 ; 2 ; UCLA ; 
14 ;  Blackmon, Justin ; WR ; SUS ;  6'1" ; 210 ; 1/9/1990 ; 2 ; Oklahoma State ; 
40 ;  Bohanon, Tommy ; RB ; ACT ;  6'1" ; 246 ; 9/10/1990 ; 5 ; Wake Forest ; 
5 ;  Bortles, Blake ; QB ; ACT ;  6'5" ; 236 ; 4/28/1992 ; 5 ; Central Florida ; 
21 ;  Bouye, A.J. ; DB ; ACT ;  6'0" ; 191 ; 8/16/1991 ; 6 ; Central Florida ; 
53 ;  Brown, Blair ; LB ; ACT ;  6'0" ; 238 ; 5/27/1994 ; 2 ; Ohio U. ; 
90 ;  Bryan, Taven ; DT ; ACT ;  6'5" ; 291 ; 3/11/1996 ; 0 ; Florida ; 
93 ;  Campbell, Calais ; DT ; ACT ;  6'8" ; 300 ; 9/1/1986 ; 11 ; Miami (Fla.) ; 
60 ;  Cann, A.J. ; OG ; ACT ;  6'3" ; 315 ; 10/3/1991 ; 4 ; South Carolina ; 
17 ;  Chark, D.J. ; WR ; ACT ;  6'4" ; 198 ; 9/23/1996 ; 0 ; LSU ; 
42 ;  Church, Barry ; DB ; ACT ;  6'2" ; 218 ; 2/11/1988 ; 9 ; Toledo ; 
84 ;  Cole, Keelan ; WR ; ACT ;  6'1" ; 194 ; 4/20/1993 ; 2 ; Kentucky Wesleyan ; 
9 ;  Cooke, Logan ; P ; ACT ;  6'5" ; 230 ; 7/28/1995 ; 0 ; Mississippi State ; 
99 ;  Dareus, Marcell ; DT ; ACT ;  6'3" ; 331 ; 3/13/1990 ; 8 ; Alabama ; 
22 ;  Davis, Cody ; DB ; ACT ;  6'1" ; 203 ; 6/6/1989 ; 6 ; Texas Tech ; 
96 ;  Eulls, Kaleb ; DT ; RES ;  6'4" ; 309 ; 6/28/1991 ; 3 ; Mississippi State ; 
27 ;  Fournette, Leonard ; RB ; ACT ;  6'0" ; 228 ; 1/18/1995 ; 2 ; LSU ; 
56 ;  Fowler, Dante ; DE ; ACT ;  6'3" ; 255 ; 8/3/1994 ; 4 ; Florida ; 
39 ;  Gipson, Tashaun ; DB ; ACT ;  5'11" ; 212 ; 8/7/1990 ; 7 ; Wyoming ; 
49 ;  Goolsby, DeAndre ; TE ; RES ;  6'4" ; 240 ; 6/12/1996 ; 0 ; Florida ; 
30 ;  Grant, Corey ; RB ; ACT ;  5'11" ; 203 ; 12/19/1991 ; 4 ; Auburn ; 
36 ;  Harrison, Ronnie ; DB ; ACT ;  6'2" ; 207 ; 4/18/1997 ; 0 ; Alabama ; 
25 ;  Hayden, D.J. ; DB ; ACT ;  5'11" ; 190 ; 6/27/1990 ; 6 ; Houston ; 
41 ;  Herndon, Tre ; CB ; ACT ;  5'11" ; 185 ; 3/5/1996 ; 0 ; Vanderbilt ; 
67 ;  Hughes, Mike ; DT ; RES ;  6'2" ; 315 ; 4/3/1996 ; 0 ; Nevada-Las Vegas ; 
44 ;  Jack, Myles ; LB ; ACT ;  6'1" ; 244 ; 9/3/1995 ; 3 ; UCLA ; 
97 ;  Jackson, Malik ; DT ; ACT ;  6'5" ; 290 ; 1/11/1990 ; 7 ; Tennessee ; 
48 ;  Jacobs, Leon ; LB ; ACT ;  6'1" ; 246 ; 10/3/1995 ; 0 ; Wisconsin ; 
95 ;  Jones, Abry ; DT ; ACT ;  6'4" ; 318 ; 9/8/1991 ; 6 ; Georgia ; 
6 ;  Kessler, Cody ; QB ; ACT ;  6'1" ; 215 ; 5/11/1993 ; 3 ; USC ; 
4 ;  Lambo, Josh ; K ; ACT ;  6'0" ; 215 ; 11/19/1990 ; 4 ; Texas A&M ; 
11 ;  Lee, Marqise ; WR ; RES ;  6'0" ; 196 ; 11/25/1991 ; 5 ; USC ; 
65 ;  Linder, Brandon ; C ; ACT ;  6'6" ; 315 ; 1/25/1992 ; 5 ; Miami (Fla.) ; 
55 ;  McCray, Lerentee ; DE ; ACT ;  6'3" ; 249 ; 8/26/1990 ; 6 ; Florida ; 
85 ;  Mickens, Jaydon ; WR ; ACT ;  5'11" ; 170 ; 4/21/1994 ; 2 ; Washington ; 
10 ;  Moncrief, Donte ; WR ; ACT ;  6'2" ; 216 ; 8/6/1993 ; 5 ; Mississippi ; 
91 ;  Ngakoue, Yannick ; DE ; ACT ;  6'2" ; 246 ; 3/31/1995 ; 3 ; Maryland ; 
68 ;  Norwell, Andrew ; OG ; ACT ;  6'6" ; 325 ; 10/25/1991 ; 5 ; Ohio State ; 
80 ;  O'Shaughnessy, James ; TE ; ACT ;  6'4" ; 245 ; 1/14/1992 ; 4 ; Illinois State ; 
78 ;  Parnell, Jermey ; OT ; ACT ;  6'6" ; 326 ; 7/20/1986 ; 8 ; Mississippi ; 
23 ;  Patmon, Tyler ; DB ; ACT ;  5'10" ; 188 ; 1/26/1991 ; 4 ; Oklahoma State ; 
81 ;  Paul, Niles ; TE ; ACT ;  6'1" ; 242 ; 8/9/1989 ; 8 ; Nebraska ; 
52 ;  Payne, Donald ; LB ; ACT ;  5'11" ; 217 ; 7/12/1994 ; 2 ; Stetson ; 
20 ;  Ramsey, Jalen ; CB ; ACT ;  6'1" ; 208 ; 10/24/1994 ; 3 ; Florida State ; 
64 ;  Reed, Chris ; OG ; ACT ;  6'5" ; 310 ; 7/22/1992 ; 3 ; Minnesota State ; 
76 ;  Richardson, Will ; OT ; ACT ;  6'6" ; 306 ; 1/4/1996 ; 0 ; North Carolina State ; 
74 ;  Robinson, Cam ; OT ; ACT ;  6'6" ; 320 ; 10/9/1995 ; 2 ; Alabama ; 
88 ;  Seferian-Jenkins, Austin ; TE ; ACT ;  6'5" ; 262 ; 9/29/1992 ; 5 ; Washington ; 
69 ;  Shatley, Tyler ; C ; ACT ;  6'3" ; 310 ; 5/5/1991 ; 4 ; Clemson ; 
50 ;  Smith, Telvin ; LB ; ACT ;  6'3" ; 215 ; 4/11/1991 ; 5 ; Florida State ; 
94 ;  Smoot, Dawuane ; DE ; ACT ;  6'3" ; 264 ; 3/2/1995 ; 2 ; Illinois ; 
46 ;  Tinker, Carson ; LS ; ACT ;  6'0" ; 237 ; 11/15/1989 ; 6 ; Alabama ; 
73 ;  Walker, Josh ; OG ; ACT ;  6'5" ; 330 ; 6/2/1991 ; 4 ; Middle Tennessee State ; 
72 ;  Wells, Josh ; OT ; ACT ;  6'6" ; 306 ; 2/14/1991 ; 4 ; James Madison ; 
12 ;  Westbrook, Dede ; WR ; ACT ;  6'0" ; 178 ; 11/21/1993 ; 2 ; Oklahoma ; 
34 ;  Wilds, Brandon ; RB ; ACT ;  6'0" ; 220 ; 7/22/1993 ; 1 ; South Carolina ; 
26 ;  Wilson, Jarrod ; DB ; ACT ;  6'2" ; 210 ; 2/9/1994 ; 3 ; Michigan ; 
24 ;  Yeldon, T.J. ; RB ; ACT ;  6'1" ; 223 ; 10/2/1993 ; 4 ; Alabama ; 
