95 ;  Brown, Fadol ; DE ; ACT ;  6'4" ; 282 ; 4/15/1993 ; 1 ; Mississippi ; 
12 ;  Bryant, Martavis ; WR ; ACT ;  6'4" ; 210 ; 12/20/1991 ; 4 ; Clemson ; 
4 ;  Carr, Derek ; QB ; ACT ;  6'3" ; 215 ; 3/28/1991 ; 5 ; Fresno State ; 
96 ;  Carradine, Tank ; DE ; ACT ;  6'4" ; 270 ; 2/18/1990 ; 6 ; Florida State ; 
85 ;  Carrier, Derek ; TE ; ACT ;  6'4" ; 244 ; 7/25/1990 ; 6 ; Beloit ; 
74 ;  Clemmings, T.J. ; OT ; ACT ;  6'5" ; 309 ; 11/18/1991 ; 4 ; Pittsburgh ; 
21 ;  Conley, Gareon ; CB ; ACT ;  6'0" ; 195 ; 6/29/1995 ; 2 ; Ohio State ; 
87 ;  Cook, Jared ; TE ; ACT ;  6'5" ; 254 ; 4/7/1987 ; 10 ; South Carolina ; 
89 ;  Cooper, Amari ; WR ; ACT ;  6'1" ; 210 ; 6/17/1994 ; 4 ; Alabama ; 
48 ;  DePaola, Andrew ; LS ; RES ;  6'2" ; 230 ; 7/28/1987 ; 5 ; Rutgers ; 
78 ;  Ellis, Justin ; DT ; RES ;  6'2" ; 335 ; 12/27/1990 ; 5 ; Louisiana Tech ; 
76 ;  Feliciano, Jon ; OG ; ACT ;  6'4" ; 325 ; 2/10/1992 ; 4 ; Miami (Fla.) ; 
31 ;  Gilchrist, Marcus ; DB ; ACT ;  5'10" ; 200 ; 12/8/1988 ; 8 ; Clemson ; 
29 ;  Hall, Leon ; DB ; ACT ;  5'11" ; 195 ; 12/9/1984 ; 12 ; Michigan ; 
92 ;  Hall, P.J. ; NT ; ACT ;  6'1" ; 308 ; 4/5/1995 ; 0 ; Sam Houston State ; 
95 ;  Hankins, Johnathan ; DT ; ACT ;  6'2" ; 325 ; 3/30/1992 ; 6 ; Ohio State ; 
17 ;  Harris, Dwayne ; WR ; ACT ;  5'11" ; 206 ; 9/16/1987 ; 8 ; East Carolina ; 
25 ;  Harris, Erik ; DB ; ACT ;  6'3" ; 225 ; 4/2/1990 ; 3 ; California (PA) ; 
61 ;  Hudson, Rodney ; C ; ACT ;  6'2" ; 300 ; 7/12/1989 ; 8 ; Florida State ; 
