91 ;  Armstead, Arik ; DE ; ACT ;  6'7" ; 292 ; 11/15/1993 ; 4 ; Oregon ; 
3 ;  Beathard, C.J. ; QB ; ACT ;  6'2" ; 215 ; 11/16/1993 ; 2 ; Iowa ; 
98 ;  Blair, Ronald ; DE ; ACT ;  6'4" ; 270 ; 1/21/1993 ; 3 ; Appalachian State ; 
17 ;  Bolden, Victor ; WR ; SUS ;  5'8" ; 178 ; 4/4/1995 ; 2 ; Oregon State ; 
84 ;  Bourne, Kendrick ; WR ; ACT ;  6'1" ; 203 ; 8/4/1995 ; 2 ; Eastern Washington ; 
22 ;  Breida, Matt ; RB ; ACT ;  5'11" ; 190 ; 2/28/1995 ; 2 ; Georgia Southern ; 
99 ;  Buckner, DeForest ; DE ; ACT ;  6'7" ; 300 ; 3/17/1994 ; 3 ; Oregon ; 
88 ;  Celek, Garrett ; TE ; ACT ;  6'5" ; 252 ; 5/29/1988 ; 7 ; Michigan State ; 
27 ;  Colbert, Adrian ; DB ; ACT ;  6'2" ; 205 ; 10/6/1993 ; 2 ; Miami (Fla.) ; 
78 ;  Coleman, Shon ; OT ; ACT ;  6'5" ; 310 ; 11/25/1991 ; 3 ; Auburn ; 
50 ;  Coyle, Brock ; LB ; RES ;  6'1" ; 245 ; 10/12/1990 ; 5 ; Montana ; 
96 ;  Day, Sheldon ; DT ; ACT ;  6'1" ; 294 ; 7/1/1994 ; 3 ; Notre Dame ; 
38 ;  Exum, Antone ; DB ; ACT ;  6'0" ; 219 ; 2/27/1991 ; 5 ; Virginia Tech ; 
60 ;  Flynn, JP ; OG ; RES ;  6'5" ; 320 ; 8/30/1993 ; 1 ; Montana State ; 
56 ;  Foster, Reuben ; LB ; SUS ;  6'1" ; 228 ; 4/4/1994 ; 2 ; Alabama ; 
15 ;  Garcon, Pierre ; WR ; ACT ;  6'0" ; 211 ; 8/8/1986 ; 11 ; Mount Union ; 
65 ;  Garnett, Joshua ; OG ; ACT ;  6'5" ; 305 ; 2/21/1994 ; 3 ; Stanford ; 
10 ;  Garoppolo, Jimmy ; QB ; ACT ;  6'2" ; 225 ; 11/2/1991 ; 5 ; Eastern Illinois ; 
57 ;  Garvin, Terence ; LB ; ACT ;  6'3" ; 242 ; 1/1/1991 ; 6 ; West Virginia ; 
76 ;  Gilliam, Garry ; OT ; ACT ;  6'5" ; 305 ; 11/26/1990 ; 5 ; Penn State ; 
11 ;  Goodwin, Marquise ; WR ; ACT ;  5'9" ; 180 ; 11/19/1990 ; 6 ; Texas ; 
9 ;  Gould, Robbie ; K ; ACT ;  6'0" ; 190 ; 12/6/1982 ; 14 ; Penn State ; 
49 ;  Harris, Marcell ; DB ; RES ;  6'0" ; 208 ; 6/9/1994 ; 0 ; Florida ; 
13 ;  James, Richie ; WR ; ACT ;  5'9" ; 185 ; 9/5/1995 ; 0 ; Middle Tennessee State ; 
93 ;  Jones, D.J. ; DT ; ACT ;  6'0" ; 321 ; 1/19/1995 ; 2 ; Mississippi ; 
44 ;  Juszczyk, Kyle ; RB ; ACT ;  6'1" ; 240 ; 4/23/1991 ; 6 ; Harvard ; 
85 ;  Kittle, George ; TE ; ACT ;  6'4" ; 250 ; 10/9/1993 ; 2 ; Iowa ; 
47 ;  Lee, Elijah ; LB ; ACT ;  6'2" ; 229 ; 2/8/1996 ; 2 ; Kansas State ; 
26 ;  Mabin, Greg ; CB ; ACT ;  6'1" ; 200 ; 6/25/1994 ; 2 ; Iowa ; 
62 ;  Magnuson, Erik ; OT ; ACT ;  6'6" ; 305 ; 1/5/1994 ; 2 ; Michigan ; 
54 ;  Marsh, Cassius ; DE ; ACT ;  6'4" ; 245 ; 7/7/1992 ; 5 ; UCLA ; 
69 ;  McGlinchey, Mike ; OT ; ACT ;  6'8" ; 315 ; 1/12/1995 ; 0 ; Notre Dame ; 
28 ;  McKinnon, Jerick ; RB ; RES ;  5'9" ; 205 ; 5/3/1992 ; 5 ; Georgia Southern ; 
90 ;  Mitchell, Earl ; DT ; ACT ;  6'3" ; 310 ; 9/25/1987 ; 9 ; Arizona ; 
33 ;  Moore, Tarvarius ; DB ; ACT ;  6'2" ; 200 ; 8/16/1996 ; 0 ; Southern Mississippi ; 
46 ;  Morris, Alfred ; RB ; ACT ;  5'10" ; 222 ; 12/12/1988 ; 7 ; Florida Atlantic ; 
31 ;  Mostert, Raheem ; RB ; ACT ;  5'10" ; 197 ; 4/9/1992 ; 4 ; Purdue ; 
86 ;  Nelson, Kyle ; LS ; ACT ;  6'2" ; 240 ; 10/3/1986 ; 7 ; New Mexico State ; 
53 ;  Nzeocha, Mark ; OLB ; ACT ;  6'3" ; 240 ; 1/19/1990 ; 4 ; Wyoming ; 
68 ;  Person, Mike ; OT ; ACT ;  6'4" ; 300 ; 6/17/1988 ; 8 ; Montana State ; 
18 ;  Pettis, Dante ; WR ; ACT ;  6'1" ; 195 ; 10/23/1995 ; 0 ; Washington ; 
5 ;  Pinion, Bradley ; P ; ACT ;  6'5" ; 240 ; 6/1/1994 ; 4 ; Clemson ; 
32 ;  Reed, D.J. ; CB ; ACT ;  5'9" ; 188 ; 11/11/1996 ; 0 ; Kansas State ; 
58 ;  Richburg, Weston ; OG ; ACT ;  6'4" ; 290 ; 7/9/1991 ; 5 ; Colorado State ; 
25 ;  Sherman, Richard ; DB ; ACT ;  6'3" ; 195 ; 3/30/1988 ; 8 ; Stanford ; 
51 ;  Smith, Malcolm ; LB ; ACT ;  6'0" ; 225 ; 7/5/1989 ; 8 ; USC ; 
74 ;  Staley, Joe ; OT ; ACT ;  6'5" ; 295 ; 8/30/1984 ; 12 ; Central Michigan ; 
29 ;  Tartt, Jaquiski ; SAF ; ACT ;  6'1" ; 215 ; 2/12/1992 ; 4 ; Samford ; 
81 ;  Taylor, Trent ; WR ; ACT ;  5'8" ; 180 ; 4/30/1994 ; 2 ; Louisiana Tech ; 
77 ;  Taylor, Jullian ; DT ; ACT ;  6'5" ; 280 ; 1/30/1995 ; 0 ; Temple ; 
94 ;  Thomas, Solomon ; DE ; ACT ;  6'3" ; 280 ; 8/26/1995 ; 2 ; Stanford ; 
64 ;  Tobin, Matt ; OT ; ACT ;  6'6" ; 310 ; 6/5/1990 ; 6 ; Iowa ; 
75 ;  Tomlinson, Laken ; OG ; ACT ;  6'3" ; 312 ; 2/9/1992 ; 4 ; Duke ; 
66 ;  Toran, Najee ; DB ; ACT ;  6'2" ; 305 ; 11/15/1995 ; 0 ; UCLA ; 
20 ;  Ward, Jimmie ; DB ; ACT ;  5'11" ; 193 ; 7/18/1991 ; 5 ; Northern Illinois ; 
48 ;  Warner, Fred ; LB ; ACT ;  6'3" ; 226 ; 11/19/1996 ; 0 ; Brigham Young ; 
97 ;  Watson, Dekoda ; LB ; RES ;  6'2" ; 245 ; 3/3/1988 ; 9 ; Florida State ; 
89 ;  Wick, Cole ; TE ; ACT ;  6'6" ; 257 ; 11/30/1993 ; 2 ; Incarnate Word (Tex.) ; 
24 ;  Williams, K'Waun ; DB ; ACT ;  5'9" ; 185 ; 7/12/1991 ; 4 ; Pittsburgh ; 
23 ;  Witherspoon, Ahkello ; CB ; ACT ;  6'3" ; 195 ; 3/21/1995 ; 2 ; Colorado ; 
