39 ;  Alexander, Adonis ; DB ; ACT ;  6'3" ; 197 ; 11/7/1996 ; 0 ; Virginia Tech ; 
93 ;  Allen, Jonathan ; DE ; ACT ;  6'3" ; 294 ; 1/16/1995 ; 2 ; Alabama ; 
52 ;  Anderson, Ryan ; LB ; ACT ;  6'2" ; 253 ; 8/12/1994 ; 2 ; Alabama ; 
30 ;  Apke, Troy ; DB ; ACT ;  6'1" ; 200 ; 4/11/1995 ; 0 ; Penn State ; 
66 ;  Bergstrom, Tony ; C ; ACT ;  6'5" ; 310 ; 8/8/1986 ; 7 ; Utah ; 
99 ;  Brantley, Caleb ; DT ; ACT ;  6'2" ; 307 ; 9/2/1994 ; 2 ; Florida ; 
53 ;  Brown, Zach ; LB ; ACT ;  6'1" ; 250 ; 10/23/1989 ; 7 ; North Carolina ; 
68 ;  Catalina, Tyler ; OG ; RES ;  6'6" ; 315 ; 1/24/1993 ; 2 ; Georgia ; 
74 ;  Christian, Geron ; OT ; ACT ;  6'5" ; 302 ; 9/10/1996 ; 0 ; Louisville ; 
80 ;  Crowder, Jamison ; WR ; ACT ;  5'9" ; 177 ; 6/17/1993 ; 4 ; Duke ; 
19 ;  Davis, Robert ; WR ; RES ;  6'3" ; 212 ; 4/2/1995 ; 1 ; Georgia State ; 
85 ;  Davis, Vernon ; TE ; ACT ;  6'3" ; 244 ; 1/31/1984 ; 13 ; Maryland ; 
18 ;  Doctson, Josh ; WR ; ACT ;  6'2" ; 202 ; 12/3/1992 ; 3 ; Texas Christian ; 
23 ;  Dunbar, Quinton ; CB ; ACT ;  6'2" ; 197 ; 7/22/1992 ; 4 ; Florida ; 
55 ;  Dunn, Casey ; C ; ACT ;  6'4" ; 300 ; 10/11/1994 ; 0 ; Auburn ; 
22 ;  Everett, Deshazor ; DB ; ACT ;  6'0" ; 195 ; 2/22/1992 ; 4 ; Texas A&M ; 
54 ;  Foster, Mason ; LB ; ACT ;  6'1" ; 250 ; 3/1/1989 ; 8 ; Washington ; 
82 ;  Garner, Manasseh ; TE ; RES ;  6'2" ; 240 ; 3/11/1992 ; 1 ; Pittsburgh ; 
29 ;  Guice, Derrius ; RB ; RES ;  5'11" ; 225 ; 6/21/1997 ; 0 ; LSU ; 
51 ;  Hamilton, Shaun Dion ; LB ; ACT ;  6'0" ; 235 ; 9/11/1995 ; 0 ; Alabama ; 
13 ;  Harris, Maurice ; WR ; ACT ;  6'3" ; 200 ; 11/11/1992 ; 3 ; California ; 
40 ;  Harvey-Clemons, Josh ; LB ; ACT ;  6'4" ; 230 ; 2/20/1994 ; 2 ; Louisville ; 
90 ;  Hood, Ziggy ; DT ; ACT ;  6'3" ; 305 ; 2/16/1987 ; 10 ; Missouri ; 
3 ;  Hopkins, Dustin ; K ; ACT ;  6'2" ; 203 ; 10/1/1990 ; 5 ; Florida State ; 
98 ;  Ioannidis, Matthew ; DT ; ACT ;  6'3" ; 305 ; 1/11/1994 ; 3 ; Temple ; 
41 ;  Johnson, Danny ; DB ; ACT ;  5'9" ; 181 ; 11/17/1995 ; 0 ; Southern University ; 
20 ;  Kelley, Rob ; RB ; ACT ;  6'0" ; 229 ; 10/3/1992 ; 3 ; Tulane ; 
91 ;  Kerrigan, Ryan ; LB ; ACT ;  6'4" ; 259 ; 8/16/1988 ; 8 ; Purdue ; 
60 ;  Kouandjio, Arie ; OG ; RES ;  6'5" ; 316 ; 4/23/1992 ; 4 ; Alabama ; 
39 ;  Ladler, Kenny ; DB ; ACT ;  6'1" ; 200 ; 6/23/1992 ; 2 ; Vanderbilt ; 
77 ;  Lauvao, Shawn ; OG ; ACT ;  6'3" ; 308 ; 10/26/1987 ; 9 ; Arizona State ; 
34 ;  Marshall, Byron ; RB ; RES ;  5'9" ; 225 ; 2/13/1994 ; 2 ; Oregon ; 
12 ;  McCoy, Colt ; QB ; ACT ;  6'1" ; 210 ; 9/5/1986 ; 9 ; Texas ; 
92 ;  McGee, Stacy ; DT ; PUP ;  6'3" ; 341 ; 1/17/1990 ; 6 ; Oklahoma ; 
96 ;  McPhee, Pernell ; LB ; ACT ;  6'3" ; 265 ; 12/17/1988 ; 8 ; Mississippi State ; 
31 ;  Moreau, Fabian ; CB ; ACT ;  6'0" ; 200 ; 4/9/1994 ; 2 ; UCLA ; 
76 ;  Moses, Morgan ; OT ; ACT ;  6'6" ; 335 ; 3/3/1991 ; 5 ; Virginia ; 
35 ;  Nicholson, Montae ; DB ; ACT ;  6'2" ; 215 ; 12/4/1995 ; 2 ; Michigan State ; 
24 ;  Norman, Josh ; DB ; ACT ;  6'0" ; 200 ; 12/15/1987 ; 7 ; Coastal Carolina ; 
79 ;  Nsekhe, Ty ; OT ; ACT ;  6'8" ; 330 ; 10/27/1985 ; 4 ; Texas State ; 
95 ;  Payne, Da'Ron ; DT ; ACT ;  6'3" ; 319 ; 5/27/1997 ; 0 ; Alabama ; 
32 ;  Perine, Samaje ; RB ; ACT ;  5'11" ; 233 ; 9/16/1995 ; 2 ; Oklahoma ; 
26 ;  Peterson, Adrian ; RB ; ACT ;  6'1" ; 220 ; 3/21/1985 ; 11 ; Oklahoma ; 
83 ;  Quick, Brian ; WR ; ACT ;  6'3" ; 215 ; 6/5/1989 ; 7 ; Appalachian State ; 
14 ;  Quinn, Trey ; WR ; RES ;  6'0" ; 200 ; 12/7/1995 ; 0 ; Southern Methodist ; 
86 ;  Reed, Jordan ; TE ; ACT ;  6'2" ; 245 ; 7/3/1990 ; 6 ; Florida ; 
10 ;  Richardson, Paul ; WR ; ACT ;  6'0" ; 180 ; 4/13/1992 ; 5 ; Colorado ; 
73 ;  Roullier, Chase ; C ; ACT ;  6'4" ; 310 ; 8/23/1993 ; 2 ; Wyoming ; 
75 ;  Scherff, Brandon ; OG ; ACT ;  6'5" ; 315 ; 12/26/1991 ; 4 ; Iowa ; 
97 ;  Settle, Tim ; DT ; ACT ;  6'3" ; 328 ; 7/11/1997 ; 0 ; Virginia Tech ; 
89 ;  Sims, Cam ; WR ; RES ;  6'5" ; 214 ; 1/6/1996 ; 0 ; Alabama ; 
11 ;  Smith, Alex ; QB ; ACT ;  6'4" ; 213 ; 5/7/1984 ; 14 ; Utah ; 
94 ;  Smith, Preston ; LB ; ACT ;  6'5" ; 265 ; 11/17/1992 ; 4 ; Mississippi State ; 
87 ;  Sprinkle, Jeremy ; TE ; ACT ;  6'5" ; 252 ; 8/10/1994 ; 2 ; Arkansas ; 
37 ;  Stroman, Greg ; DB ; ACT ;  5'11" ; 180 ; 3/8/1996 ; 0 ; Virginia Tech ; 
57 ;  Sundberg, Nick ; LS ; ACT ;  6'0" ; 256 ; 7/29/1987 ; 9 ; California ; 
36 ;  Swearinger, D.J. ; DB ; ACT ;  5'10" ; 205 ; 9/1/1991 ; 6 ; South Carolina ; 
25 ;  Thompson, Chris ; RB ; ACT ;  5'8" ; 195 ; 10/20/1990 ; 5 ; Florida State ; 
56 ;  Vigil, Zach ; LB ; ACT ;  6'2" ; 238 ; 3/28/1991 ; 4 ; Utah State ; 
5 ;  Way, Tress ; P ; ACT ;  6'1" ; 216 ; 4/18/1990 ; 5 ; Oklahoma ; 
71 ; Williams, Trent ; OT ; ACT ; 6'5" ; 320 ; 7/19/1988 ; 9 ; Oklahoma ; 
